frame,label,confidence,x,y,time
62,songoku,0.8506,449,395,2025-10-31T15:34:59.174515+00:00
62,moc1,0.8491,817,662,2025-10-31T15:34:59.174515+00:00
62,moc3,0.8174,126,668,2025-10-31T15:34:59.182954+00:00
62,dog,0.6187,362,540,2025-10-31T15:34:59.182954+00:00
63,songoku,0.8496,449,393,2025-10-31T15:34:59.216028+00:00
63,moc1,0.8447,817,662,2025-10-31T15:34:59.216028+00:00
63,moc3,0.813,127,667,2025-10-31T15:34:59.216028+00:00
63,dog,0.5698,362,540,2025-10-31T15:34:59.218033+00:00
64,moc1,0.873,817,662,2025-10-31T15:34:59.253623+00:00
64,songoku,0.8628,450,395,2025-10-31T15:34:59.253623+00:00
64,moc3,0.8018,126,667,2025-10-31T15:34:59.253623+00:00
64,dog,0.6133,363,540,2025-10-31T15:34:59.253623+00:00
64,moc4,0.3108,345,419,2025-10-31T15:34:59.255630+00:00
65,songoku,0.8647,449,395,2025-10-31T15:34:59.283576+00:00
65,moc1,0.8472,817,662,2025-10-31T15:34:59.283576+00:00
65,moc3,0.7959,127,666,2025-10-31T15:34:59.288670+00:00
65,dog,0.5796,362,540,2025-10-31T15:34:59.288670+00:00
66,moc1,0.8589,817,663,2025-10-31T15:34:59.320014+00:00
66,songoku,0.8555,449,394,2025-10-31T15:34:59.320014+00:00
66,moc3,0.8188,127,667,2025-10-31T15:34:59.320014+00:00
66,dog,0.5757,362,540,2025-10-31T15:34:59.320014+00:00
67,songoku,0.8525,448,395,2025-10-31T15:34:59.346888+00:00
67,moc1,0.8267,818,663,2025-10-31T15:34:59.346888+00:00
67,moc3,0.7905,127,667,2025-10-31T15:34:59.346888+00:00
67,dog,0.6187,362,540,2025-10-31T15:34:59.346888+00:00
68,songoku,0.8745,444,395,2025-10-31T15:34:59.378248+00:00
68,moc1,0.8223,817,662,2025-10-31T15:34:59.388439+00:00
68,moc3,0.7432,126,666,2025-10-31T15:34:59.388439+00:00
68,dog,0.5698,362,540,2025-10-31T15:34:59.388439+00:00
69,moc1,0.8301,817,662,2025-10-31T15:34:59.416350+00:00
69,moc3,0.7852,126,667,2025-10-31T15:34:59.416350+00:00
69,songoku,0.6436,437,371,2025-10-31T15:34:59.416350+00:00
69,dog,0.5039,362,540,2025-10-31T15:34:59.416350+00:00
70,moc1,0.8457,817,663,2025-10-31T15:34:59.441833+00:00
70,moc3,0.7788,127,667,2025-10-31T15:34:59.441833+00:00
70,songoku,0.6816,437,368,2025-10-31T15:34:59.441833+00:00
70,dog,0.6187,363,540,2025-10-31T15:34:59.441833+00:00
71,moc1,0.854,817,662,2025-10-31T15:34:59.489901+00:00
71,moc3,0.7549,127,666,2025-10-31T15:34:59.489901+00:00
71,songoku,0.6538,437,369,2025-10-31T15:34:59.489901+00:00
71,dog,0.6001,363,540,2025-10-31T15:34:59.489901+00:00
72,moc1,0.8511,816,662,2025-10-31T15:34:59.521977+00:00
72,moc3,0.7983,127,667,2025-10-31T15:34:59.521977+00:00
72,songoku,0.6558,439,371,2025-10-31T15:34:59.521977+00:00
72,dog,0.5776,363,540,2025-10-31T15:34:59.521977+00:00
73,moc1,0.8511,817,662,2025-10-31T15:34:59.553803+00:00
73,moc3,0.813,126,667,2025-10-31T15:34:59.553803+00:00
73,songoku,0.6934,438,373,2025-10-31T15:34:59.553803+00:00
73,dog,0.6621,363,539,2025-10-31T15:34:59.553803+00:00
73,moc2,0.3684,691,400,2025-10-31T15:34:59.553803+00:00
74,moc1,0.8364,816,662,2025-10-31T15:34:59.589603+00:00
74,moc3,0.7842,126,667,2025-10-31T15:34:59.589603+00:00
74,songoku,0.7271,439,378,2025-10-31T15:34:59.589603+00:00
74,dog,0.6758,362,541,2025-10-31T15:34:59.589603+00:00
74,moc2,0.6084,692,400,2025-10-31T15:34:59.591608+00:00
75,moc1,0.8398,817,661,2025-10-31T15:34:59.623392+00:00
75,moc3,0.7842,127,667,2025-10-31T15:34:59.623392+00:00
